DRX cycle length [s],"Tdetect,NB_Inter_NC_perCC_ECID [s] (number of DRX cycles)",Tmeasure_Inter_NC_ECID [s] (number of DRX cycles)
0.32,26 (80),1.28 (4)
0.64,29 (45),1.28 (2)
1.28,58 (45),1.28 (1)
2.56,59 (23),2.56 (1)
5.12,113 (22),5.12 (1)
10.24,113 (11),10.24 (1)
