Measurement bandwidth[RB],Discovery signal occasion duration (ds-OccasionDuration) [ms],TMeasurement_Period inter_TDD_CRS [ms]
6,≥2,"5 *  Max{ TDMTC_periodicity, MGRP}*Nfreq"
25,≥2,"3 *  Max{ TDMTC_periodicity, MGRP}*Nfreq"
