"Condition NOTE1,2",TSSB_measurement_period_irat
No DRX,"Max(400ms, Mmeas_period_irat  Max(MGRP, SMTC period))  Nfreq"
DRX cycle ≤ 320ms,"Max(400ms, (1.5  Mmeas_period_irat)  Max(MGRP, SMTC period, DRX cycle))  Nfreq"
DRX cycle > 320ms,Mmeas_period_irat  DRX cycle  Nfreq
NOTE 1: DRX or non DRX requirements apply according to the conditions described in section 5.,
