eDRX_IDLE cycle length [s],DRX cycle length [s],PTW length [s] (number of 1.28s periods),TdetectUTRA_FDD [s] (number of DRX or eDRX cycles Note 4),TmeasureUTRA_FDD [s] (number of DRX or eDRX cycles Note 4),TevaluateUTRA_FDD[s] (number of DRX or eDRX cycles Note 4)
5.12,N/A,N/A,117.76 (23),15.36 (3),46.08 (9)
10.24 ≤ eDRX_IDLE cycle length ≤ 2621.44,0.32,≥1.28 (1),Note 3 (23),0.96 (3),Note 3 (9)
,0.64,≥2.56 (2),,1.92 (3),Note 3 (9)
,1.28,≥3.84 (3),,3.84 (3),Note 3 (9)
,2.56,≥7.68 (6),,7.68 (3),Note 3 (9)
"NOTE 1:The number of DRX cycles in this table is given for the DRX cycles within PTWs.NOTE 2:The eDRX_IDLE cycle lengths are as specified in Section 10.5.5.32 of TS 24.008 [34].NOTE 3:The time is calculated depending on the number N of DRX cycles as follows: NOTE 4:Number of eDRX cycles when eDRX_IDLE cycle length equals 5.12s, number of DRX cycles otherwise.",,,,,
