Neighouring cell SCH Ês/Iot: Q2 [dB],Gap pattern ID,Cell identification delay (Tidentify_inter_UE cat M1),Measurement delay (Tmeasure_inter_UE cat M1)
-15≤ Q2 < -6,0,"Max(400 * rmax* G / 1000, 320.8) * Kinter_M1_EC*  KSAT s","Max(5 * rmax* G, 800) *  Kinter_M1_EC*  Ksatellite_inter_i    ms"
,1,"Max(400 * rmax* G / 1000, 321.6) * Kinter_M1_EC*  KSAT s","Max(5 * rmax* G, 1600) * Kinter_M1_EC*  Ksatellite_inter_i    ms"
Q2-6,0,"Max(20 * rmax* G / 1000, 21.8)* Kinter_M1_EC*  KSAT s","Max(5 * rmax* G, 800) *  Kinter_M1_EC*  Ksatellite_inter_i    ms"
,1,"Max(20 * rmax* G / 1000, 22.6)* Kinter_M1_EC*  KSAT s","Max(5 * rmax* G, 1600) * Kinter_M1_EC*  Ksatellite_inter_i    ms"
