Measurement bandwidth[RB],Discovery signal occasion duration (ds-OccasionDuration) [ms],TMeasurement_Period intra_TDD_CRS[ms]
6,≥2,5 * TDMTC_periodicity
25,≥2,3 * TDMTC_periodicity
