eDRX_IDLE cycle length [s],DRX cycle length [s],PTW length [s] (number of 1.28s periods),"Tdetect,EUTRAN_Inter_NC [s] (number of DRX or eDRX cycles Note 3)","Tmeasure,EUTRAN_Inter_NC [s] (number of DRX or eDRX cycles Note 3)","Tevaluate,E-UTRAN_inter_NC[s] (number of DRX or eDRX cycles Note 3)"
5.12,N/A,N/A,117.76 (23),5.12 (1),10.24 (2)
10.24 ≤ eDRX_IDLE cycle length ≤ 2621.44,0.32,≥1.28 (1),(23),0.32 (1),(2)
,0.64,≥1.28 (1),,0.64 (1),(2)
,1.28,≥1.28 (1),,1.28 (1),(2)
,2.56,≥2.56 (2),,2.56 (1),(2)
"NOTE 1:The number of DRX cycles in this table is given for the DRX cycles within PTWs.NOTE 2:The eDRX_IDLE cycle lengths are as specified in Section 10.5.5.32 of TS 24.008 [34].NOTE 3:Number of eDRX cycles when eDRX_IDLE cycle length equals 5.12s, number of DRX cycles otherwise",,,,,
