"Condition NOTE1,2",TSSB_time_index_irat
No DRX,"Max(200ms, MSSB_index_irat  Max(MGRP, SMTC period))  Nfreq"
DRX cycle ≤ 320ms,"Max(200ms, (1.5  MSSB_index_irat)  Max(MGRP, SMTC period, DRX cycle))  Nfreq"
DRX cycle > 320ms,MSSB_index_irat  DRX cycle  Nfreq
NOTE 1: DRX or non DRX requirements apply according to the conditions described in section 5.,
