DRX cycle length [s],"Tdetect,EUTRAN_Intra [s] (number of DRX cycles)","Tmeasure,EUTRAN_Intra [s] (number of DRX cycles)","Tevaluate,E-UTRAN_intra[s] (number of DRX cycles)"
0.32,11.52 (36),1.28 (4),5.12 (16)
0.64,17.92 (28),1.28 (2),5.12 (8)
1.28,32(25),1.28 (1),6.4 (5)
2.56,58.88 (23),2.56 (1),7.68 (3)
