Gap pattern ID,DRX cycle length (s),Tmeasure_inter_UE cat M1_NC (s) (DRX cycles)
0,<0.08,0.48 * Kinter_M1 *  Ksatellite_inter_i  (Note 1)
,0.08≤DRX-cycle≤0.16,Note 2 (7 * Kinter_M1 *  Ksatellite_inter_i  )
,0.16<DRX-cycle≤2.56,Note 2(5 * Kinter_M1 *  Ksatellite_inter_i  )
1,<0.16,0.96 * Kinter_M1 *  Ksatellite_inter_i  (Note 1)
,DRX-cycle=0.16,1.12 * Kinter_M1 *  KSAT (7 * Kinter_M1 * Ksatellite_inter_i  )
,0.16<DRX-cycle≤2.56,Note 2(5 * Kinter_M1 *  Ksatellite_inter_i  )
Note 1:Number of DRX cycle depends upon the DRX cycle in useNote 2:Time depends upon the DRX cycle in use,,
