Reported value,Measured quantity value,Unit
RX-TX_TIME_DIFFERENCE_TDD_0000,TUE Rx-Tx  626,Ts
RX-TX_TIME_DIFFERENCE_TDD_0001,626  TUE Rx-Tx < 628,Ts
RX-TX_TIME_DIFFERENCE_TDD_0002,628  TUE Rx-Tx < 630,Ts
…,…,…
RX-TX_TIME_DIFFERENCE_TDD_2046,4716  TUE Rx-Tx < 4718,Ts
RX-TX_TIME_DIFFERENCE_TDD_2047,4718  TUE Rx-Tx < 4720,Ts
RX-TX_TIME_DIFFERENCE_TDD_2048,4720  TUE Rx-Tx < 4728,Ts
RX-TX_TIME_DIFFERENCE_TDD_2049,4728  TUE Rx-Tx < 4736,Ts
…,…,…
RX-TX_TIME_DIFFERENCE_TDD_4093,21080  TUE Rx-Tx < 21088,Ts
RX-TX_TIME_DIFFERENCE_TDD_4094,21088  TUE Rx-Tx < 21096,Ts
RX-TX_TIME_DIFFERENCE_TDD_4095,21096  TUE Rx-Tx,Ts
