Accuracy,Conditions,
,Ês/Iot,Frequency range
Ts Note 1,dB,
40,-3 dB,FR1
NOTE 1:Ts is the basic timing unit defined in TS 36.211 [16].NOTE 2:The parameter Ês/Iot is the minimum Ês/Iot of the pair of cells to which the requirement applies.,,
