Reported Relative Quantity Value,"Measured Relative Quantity Value,",Unit
RSTD_delta_0,0,Ts
RSTD_delta_1,0.5,Ts
RSTD_delta_2,1.0,Ts
RSTD_delta_3,2.0,Ts
RSTD_delta_4,3.0,Ts
RSTD_delta_5,4.0,Ts
