SCH Ês/Iot,CSI-RS measurement bandwidth [RB] Note2,CSI-RS Ês/Iot,Tmeasure_SCC_FS3_CSI-RS [ms]
0 ≤ SCH Ês/Iot,<25,0 ≤ CSI-RS Ês/Iot,(5+M) * k1*k2* measCycleSCell
-6 ≤ SCH Ês/Iot < 0,<25,,(20+M) * k1*k2* measCycleSCell
0 ≤ SCH Ês/Iot,25,0 ≤ CSI-RS Ês/Iot,(1+M) * k1*k2* measCycleSCell
-6 ≤ SCH Ês/Iot < 0,25,,(4+M) * k1*k2* measCycleSCell
"Note 1:Discovery signal occasion duration (ds-OccasionDuration) is 1 ms.Note 2:The requirements for measurement bandwidth 25 RB are optional.Note 3:k1=2 when the measurement gaps configured for inter-frequency measurements in DMTC occasions or for inter-frequency RSSI measurements in RMTC occasions on a carrier with frame structure 3 overlap with some but not all DMTC occasions of the measured TP; otherwise, k1=1, e.g., when measurement gaps configured for inter-frequency measurements on a carrier with frame structure 3 do not overlap with DMTC occasions of the measured TP or when the UE does not require the measurement gaps for the inter-frequency measurements. The requirements apply, provided that the inter-frequency measurement gap pattern does not overlap with all DMTC occasions of the measured cell.k2= when DMTC occasions in the measured TP not overlapping with the inter-frequency measurement gaps overlap with DMTC occasions of NFS3_SCC (NFS3_SCC>0) SCells on other FS3 carriers; otherwise, k2=1, e.g., when NFS3_SCC=0.Note 4:The requirements apply, provided that M is such that the time period Tmeasure_SCC_FS3_CSI-RS for TP measurement does not exceed 60*k1*k2* measCycleSCell.",,,
