"Condition NOTE1,2",TSSB_measurement_period_NR
No DRX,"Max(400ms, Mmeas_period_NR  Max(MGRP, SMTC period))  CSSFNR,EN-DC"
DRX cycle ≤ 320ms,"Max(400ms, (1.5  Mmeas_period_NR)  Max(MGRP, SMTC period, DRX cycle))  CSSFNR,EN-DC"
DRX cycle > 320ms,"Mmeas_period_NR  DRX cycle  CSSFNR,EN-DC"
"NOTE 1: DRX or non DRX requirements apply according to the conditions described in clause 3.6.1 of TS 38.133 [50].NOTE 2: In EN-DC operation, the parameters, timers and scheduling requests referred to in clause 3.6.1 of TS 38.133 [50] are for the secondary cell group. The DRX cycle is the DRX cycle of the secondary cell group.",
