Measurement bandwidth[RB],Discovery signal occasion duration (ds-OccasionDuration) [ms],Tmeasure_scc_CRS_DRX [ms]
6,≥2,"5*  Max{ measCycleSCell, DRX cycle length }"
25,≥2,"3 *  Max{ measCycleSCell, DRX cycle length }"
