Reported value,Measured quantity value,Unit
RX-TX_TIME_DIFFERENCE_0000,TUE Rx-Tx  2,Ts
RX-TX_TIME_DIFFERENCE_0001,2  TUE Rx-Tx < 4,Ts
RX-TX_TIME_DIFFERENCE_0002,4  TUE Rx-Tx < 6,Ts
…,…,…
RX-TX_TIME_DIFFERENCE_2046,4092  TUE Rx-Tx < 4094,Ts
RX-TX_TIME_DIFFERENCE_2047,4094  TUE Rx-Tx < 4096,Ts
RX-TX_TIME_DIFFERENCE_2048,4096  TUE Rx-Tx < 4104,Ts
RX-TX_TIME_DIFFERENCE_2049,4104  TUE Rx-Tx < 4112,Ts
…,…,…
RX-TX_TIME_DIFFERENCE_4093,20456  TUE Rx-Tx < 20464,Ts
RX-TX_TIME_DIFFERENCE_4094,20464  TUE Rx-Tx < 20472,Ts
RX-TX_TIME_DIFFERENCE_4095,20472  TUE Rx-Tx,Ts
