Neighbouring cell SCH Ês/Iot: Q2 [dB],Gap pattern ID,DRX cycle length (s),Tidentify_intra_UE cat M1 (s) (DRX cycles)
,0,≤0.64,320.8 * Kintra_M1 *  K KSatellite_intra (Note1)
-15≤ Q2 < -6,,0.64< DRX-cycle≤2.56,Note2 (400 * Kintra_M1 *  KSatellite_intra)
,1,DRX-cycle ≤ 0.640,321.6 * Kintra_M1 *  KSatellite_intra (Note1)
,,0.64< DRX-cycle≤2.56,Note2(400 * Kintra_M1 *  KSatellite_intra)
,0,≤0.64,21.8 * Kintra_M1 *  KSatellite_intra (Note1)
Q2-6,,0.64< DRX-cycle≤2.56,Note2 (24 * Kintra_M1 *  KSatellite_intra)
,1,DRX-cycle ≤ 0.640,22.6 * Kintra_M1 *  KSatellite_intra (Note1)
,,0.64< DRX-cycle≤2.56,Note2(24 * Kintra_M1 *  KSatellite_intra)
Note1:Number of DRX cycle depends upon the DRX cycle in useNote2:Time depends upon the DRX cycle in use,,,
