Gap Pattern Id,"MeasurementGap Length (MGL, ms)","Measurement Gap Repetition Period(MGRP, ms)",Number of gaps per burst,Burst repetition period Tburst,Measurement Purpose
nonUniform1,6,40,13,1.28s,Inter-Frequency E-UTRAN FDD and TDD
nonUniform2,6,40,13,2.56s,Inter-Frequency E-UTRAN FDD and TDD
nonUniform3,6,40,13,5.12s,Inter-Frequency E-UTRAN FDD and TDD
nonUniform4,6,40,13,10.24s,Inter-Frequency E-UTRAN FDD and TDD
"NOTE 1:When determing UE requirements nonUniform1, nonUniform2, nonUniform3 or nonUniform4, 60ms shall be assumed as the minimum available time for inter-frequency and inter-RAT measurements during each burst..NOTE 2:The Gap patterns nonUniform1, nonUniform2, nonUniform3 and nonUniform4 cannot be be combined with IncMon reduced performance group",,,,,
