DRX cycle length (s),Tidentify_intra (s) (DRX cycles)
≤0.04,0.8 (Note1)
0.04<DRX-cycle≤0.08,Note2 (40)
0.128,3.2 (25)
0.128<DRX-cycle≤2.56,Note2(20)
Note1:Number of DRX cycle depends upon the DRX cycle in use.Note2:Time depends upon the DRX cycle in use.,
