DRX cycle length [s],"Tdetect,NB_Inter_ NC [s] (number of DRX cycles)","Tmeasure,NB_Inter_ NC [s] (number of DRX cycles)","Tevaluate,NB_Inter_ NC[s] (number of DRX cycles)"
0.32,5.12 (16),1.28 (4),2.56 (8)
0.64,5.12 (8),1.28,2.56 (4)
1.28,5.12 (4),1.28 (1),2.56 (2)
2.56,10.24 (4),2.56 (1),5.12 (2)
