Type of handover,Maximum receive timing difference between source and target cells (µs) for sync DAPS handover,Maximum transmit timing difference between source and target cells (µs) for sync DAPS handover
"Intra-frequencyNote 1,2,3",6µs,8.21 µs
"Intra-band inter-frequency Note 1,2,3",6µs,8.21 µs
Inter-band inter-frequency,33 µs,35.21 µs
"Note 1:For synchronous DAPS handover, if the receive time difference exceeds the cyclic prefix length, demodulation performance degradation is expected for the first symbol of the slot. For asynchronous DAPS handover, if the receive time difference exceeds the cyclic prefix length, interruptions may occur depending on UE implementation. The duration and frequency of occurrence of such interruptions is not specified.Note 2:For DAPS handover on a TDD band, after starting RACH procedure, a UE is not required to transmit in the uplink to any of source and target cells earlier than 20us after the end of the last received downlink symbol from any of source and target cells in the same TDD band.Note 3:For DAPS handover on a TDD band, after starting RACH procedure, a UE is not required to receive in the downlink from any of source and target cells earlier than 20us after the end of the last transmitted uplink symbol to any of source and target cells in the same TDD band.",,
