eDRX_IDLE cycle length [s],DRX cycle length [s],PTW length [s] (number of 2.56s periods),Nserv_NB-IoT-NC [number of DRX cycles]
20.48 ≤ eDRX_IDLE cycle length ≤ 10485.76,0.32,≥2.56 (1),2
,0.64,≥2.56 (1),2
,1.28,≥5.12 (2),2
,2.56,≥7.68 (3),2
,5.12,≥12.8 (5),2
,10.24,≥23.04 (9),2
NOTE 1:The number of DRX cycles in this table is given for the DRX cycles within PTWs.NOTE 2:The eDRX_IDLE cycle lengths are as specified in Section X of TS 24.008 [34].,,,
