Reported Value,Measured Quantity Value,Unit
SUBFRAME_BOUNDARY_OFFSET_00,Z  -1320,Ts
SUBFRAME_BOUNDARY_OFFSET_01,-1320 < Z  -1310,Ts
SUBFRAME_BOUNDARY_OFFSET_02,-1310 < Z  -1300,Ts
,,…
SUBFRAME_BOUNDARY_OFFSET_62,-710 < Z  -700,Ts
SUBFRAME_BOUNDARY_OFFSET_63,-700 < Z  0,Ts
SUBFRAME_BOUNDARY_OFFSET_64,0 < Z  700,Ts
SUBFRAME_BOUNDARY_OFFSET_65,700 < Z  710,Ts
…,…,…
SUBFRAME_BOUNDARY_OFFSET_125,1300 < Z  1310,Ts
SUBFRAME_BOUNDARY_OFFSET_126,1310 < Z  1320,Ts
SUBFRAME_BOUNDARY_OFFSET_127,1320 < Z,Ts
