Condition NOTE1,TPSS/SSS_sync_irat_RedCap
No DRX,"Max(600ms, Mpss/sss_sync_irat_RedCap  Max(MGRP, SMTC period))  Nfreq_RedCap"
DRX cycle ≤ 320ms,"Max(600ms, (1.5  Mpss/sss_sync_irat_RedCap)  Max(MGRP, SMTC period, DRX cycle))  Nfreq_RedCap"
DRX cycle > 320ms,Mpss/sss_sync_irat_RedCap  DRX cycle  Nfreq_RedCap
NOTE 1: DRX or non DRX requirements apply according to the conditions described in section 3.6.1 of TS 38.133 [50].,
