DRX cycle length [s],Value
0.32,"Min(n , 8)"
0.64,"Min(n , 8)"
1.28,"Min(n , 8)"
2.56,"Min(n , 4)"
5.12,"Min(n , 2)"
10.24,1
Note:n is signalled by the network by using numDRX-CycleRelaxed-r15 defined in TS 36.331 [2].,
