Reported value,Measured quantity value,Unit
MCH BLER_00,MCH BLER  0.1,%
MCH BLER_01,0.1 MCH BLER < 0.123,%
MCH BLER_02,0.123 MCH BLER < 0.151,%
MCH BLER_03,0.151 MCH BLER <0.186,%
MCH BLER_04,0.186 MCH BLER <0.229,%
MCH BLER_05,0.229 MCH BLER <0.282,%
MCH BLER_06,0. 282 MCH BLER <0.347,%
MCH BLER_07,0. 347 MCH BLER <0.426,%
MCH BLER_08,0. 426 MCH BLER <0.525,%
MCH BLER_09,0. 525 MCH BLER <0.645,%
MCH BLER_10,0. 645 MCH BLER <0.794,%
MCH BLER_11,0. 794 MCH BLER <0.976,%
MCH BLER_12,0. 976 MCH BLER <1.201,%
MCH BLER_13,1. 201 MCH BLER <1.478,%
MCH BLER_14,1. 478 MCH BLER <1.818,%
MCH BLER_15,1. 818 MCH BLER <2.236,%
MCH BLER_16,2. 236 MCH BLER <2.751,%
MCH BLER_17,2. 751 MCH BLER <3.384,%
MCH BLER_18,3. 384 MCH BLER <4.163,%
MCH BLER_19,4.163 MCH BLER <5.121,%
MCH BLER_20,5.121 MCH BLER <6.300,%
MCH BLER_21,6.300 MCH BLER <7.750,%
MCH BLER_22,7.750 MCH BLER <9.533,%
MCH BLER_23,9.533 MCH BLER <11.728,%
MCH BLER_24,11.728 MCH BLER <14.427,%
MCH BLER_25,14.427 MCH BLER <17.478,%
MCH BLER_26,17.478 MCH BLER <21.833,%
MCH BLER_27,21.833 MCH BLER <26.858,%
MCH BLER_28,26.858 MCH BLER <33.040,%
MCH BLER_29,33.040 MCH BLER <40.645,%
MCH BLER_30,40.645 MCH BLER < 50,%
MCH BLER_31,50  MCH BLER,%
