PRS Transmission Bandwidth [RB],Applicable TDD uplink-downlink configurations
"6, 15","3, 4 and 5"
25,"1, 2, 3, 4, 5 and 6"
"50, 75, 100","0, 1, 2, 3, 4, 5 and 6"
"Note 1:Uplink-downlink configurations are specified in Table 4.2-2 in TS 36.211 [16].Note2:For UEs capable of performing inter-frequency measurements without measurement gaps, TDD uplink-downlink subframe configurations as specified in Table 8.1.2.5.2-2 shall apply.",
