DRX cycle length (s),Tidentify_intra_FeICIC (s)(DRX cycles)
≤0.04,0.2 (Note 1)
0.04<DRX-cycle≤0.16,Note 2 (7)
0.16<DRX-cycle≤2.56,Note 2 (5)
NOTE 1:Number of DRX cycle depends upon the DRX cycle in use.NOTE 2:Time depends upon the DRX cycle in use.,
