Measurement bandwidth [RB],Discovery signal occasion duration (ds-OccasionDuration) [ms],TMeasurement_Period _intra_FDD_CSI-RS [ms]
≥ 6,≥1,5* TDMTC_periodicity
≥ 25,≥1,3* TDMTC_periodicity
