Reported value,Measured quantity value (dB)
POWER_HEADROOM_0,-54  PH  -45
POWER_HEADROOM_1,-45  PH  -41
POWER_HEADROOM_2,-41  PH  -37
POWER_HEADROOM_3,-37  PH  -33
POWER_HEADROOM_4,-33  PH  -29
POWER_HEADROOM_5,-29  PH  -25
POWER_HEADROOM_6,-25  PH  -21
POWER_HEADROOM_7,-21  PH  -17
POWER_HEADROOM_8,-17  PH  -13
POWER_HEADROOM_9,-13  PH  -9
POWER_HEADROOM_10,-9  PH  -5
POWER_HEADROOM_11,-5  PH  -1
POWER_HEADROOM_12,-1  PH  3
POWER_HEADROOM_13,3  PH  7
POWER_HEADROOM_14,7  PH  11
POWER_HEADROOM_15,PH ≥ 11
