"Condition NOTE1,2",TPSS/SSS_sync_irat
No DRX,"Max(600ms, Mpss/sss_sync_irat  Max(MGRP, SMTC period))  Nfreq"
DRX cycle ≤ 320ms,"Max(600ms, (1.5  Mpss/sss_sync_irat)  Max(MGRP, SMTC period, DRX cycle))  Nfreq"
DRX cycle > 320ms,Mpss/sss_sync_irat  DRX cycle  Nfreq
NOTE 1: DRX or non DRX requirements apply according to the conditions described in section 5.,
