Measurement bandwidth[RB],Discovery signal occasion duration (ds-OccasionDuration) [ms],TMeasurement_Period intra_TDD_CRS_DRX [ms]
6,≥2,"5 *  Max{ TDMTC_periodicity, DRX cycle length }"
25,≥2,"3 *  Max{ TDMTC_periodicity, DRX cycle length }"
