Measurement bandwidth [RB],Discovery signal occasion duration (ds-OccasionDuration) [ms],TMeasurement_Period intra_FDD_CRS_DRX [ms]
6,≥1,"5 *  Max{ TDMTC_periodicity, DRX cycle length }"
25,≥1,"3 *  Max{ TDMTC_periodicity, DRX cycle length }"
