DRX cycle length [s],Scaling Factor (N1),,Nserv [number of 16*DRX cycles]
,FR1,FR2-1Note1,
0.32,1,8,N1*4
0.64,,5,N1*4
1.28,,4,N1*2
2.56,,3,N1*2
"NOTE 1:Applies for UE supporting FR2-1 power class 2&3&4. For UE supporting FR2-1 power class 1 or 5, N1 = 8 for all DRX cycle length.",,,
