eDRX_IDLE cycle length [s],DRX or eDRX INACTIVE cycle length [s],Scaling Factor (N1),"Tdetect,NR_Inter_RedCap [s] (number of DRX or eDRX INACTIVE cycles)","Tmeasure,NR_Inter_RedCap [s] (number of DRX or eDRX INACTIVE cycles)","Tevaluate,NR_Inter_RedCap [s] (number of DRX or eDRX INACTIVE cycles)"
,,,,,
2.56 ≤eDRX_IDLE cycle length ≤ 10485.76,0.32,8,11.52 x N1 x 1.5 (36 x N1 x 1.5),1.28 x N1 x 1.5 (4 x N1 x 1.5),5.12 x N1 x 1.5 (16 x N1 x 1.5)
,0.64,5,17.92x N1 (28 x N1),1.28 x N1 (2 x N1),5.12 x N1 (8 x N1)
,1.28,4,32 x N1 (25 x N1),1.28 x N1 (1 x N1),6.4 x N1 (5 x N1)
,2.56,3,58.88 x N1 (23 x N1),2.56 x N1 (1 x N1),7.68 x N1 (3 x N1)
,5.12,3,117.76 x N1 (23 x N1),5.12 x N1 (1 x N1),15.36 x N1 (3 x N1)
,10.24,3,235.52 x N1 (23 x N1),10.24 x N1 (1 x N1),30.72 x N1 (3 x N1)
