Sub-carrier spacing of cell in MCG (kHz),DL Sub-carrier spacing of EUTRA cell in SCG (kHz) (Note 1),Maximum receive timing difference (µs)
15,15,500
30,15,250
60,15,125
120,15,62.5
"NOTE 1:DL Sub-carrier spacing is min{SCSSS, SCSDATA}.NOTE 2:Void",,
