eDRX_IDLE cycle length [s],DRX cycle length [s],PTW length [s] (number of 1.28 s periods),"Tdetect,NR_Intra_RedCap_Relax [s] (number of DRX cycles or eDRX cycles Note 3)","Tmeasure,NR_Intra_RedCap_Relax [s] (number of DRX cycles or eDRX cycles Note 3)","Tevaluate,NR_Intra_RedCap_Relax [s] (number of DRX cycles or eDRX cycles Note 3)"
20.48 ≤  eDRX_IDLE cycle length ≤[163.84],0.32,≥6.4 (5),(23 x K3)eDRX_cycle_length×23PTW/DRX_cycle_lengthx K3,0.32 x M2 x K3 (1 x M2 x K3),0.64 x M2 x K3 (2 x M2 x K3)
,0.64,≥12.8 (10),,0.64 x K3 (1 x K3),1.28 x K3 (2 x K3)
,1.28,≥15.36 (12),,1.28 x K3 (1 x K3),2.56 x K3 (2 x K3)
,2.56,≥30.72 (24),,2.56 x K3 (1 x K3),5.12 x K3 (2 x K3)
"NOTE 1:The number of DRX cycles in this table corresponds to the DRX cycles within PTWs.NOTE 2:The eDRX_IDLE cycle lengths are as specified in section 10.5.5.32 of TS 24.008 [42].NOTE 3: The lower bound of PTW length is derived based on  .NOTE 4:M2 = 1.5 if SMTC periodicity of measured intra-frequency cell > 20 ms; otherwise M2=1. If different SMTC periodicities are configured for different cells, the SMTC periodicity in this note is the one used by the cell being identified. During PSS/SSS detection, the periodicity of the SMTC configured for the intra-frequency carrier is assumed, and if the actual SSB transmission periodicity is greater than the SMTC configured for the intra-frequency carrier, longer Tdetect, NR_intra_RedCap_Relax is expected.NOTE 5:K3 = 6 is the measurement relaxation factor applicable for UE fulfilling the stationaryMobilityEvaluation [2] criterion.Tevaluate,NR_Intra_RedCap_Relax*DRX_cycle1.28*1.28",,,,,
