eDRX_IDLE cycle length [s],DRX cycle length [s],PTW length [s] (number of 1.28 s periods),Scaling Factor (N1) Note1,"Tdetect,NR_Inter_RedCap_Relax [s] (number of DRX cycles)","Tmeasure,NR_Inter_RedCap_Relax [s] (number of DRX cycles)",,"Tevaluate,NR_Inter_RedCap_Relax [s] (number of DRX cycles)"
20.48 ≤  eDRX_IDLE cycle length ≤[163.84],0.32,≥15.36 (12),8,K1 x (23 x N1 x K1)eDRX_cycle_length×23×N1PTW/DRX_cycle_length,,0.32 x N1 x K1 (1 x N1 x K1),0.64 x N1 x K1 (2 x N1 x K1)
,0.64,≥19.2 (15),5,,,0.64 x N1 x K1 (1 x N1 x K1),1.28 x N1 x K1 (2 x N1 x K1)
,1.28,≥30.72 (24),4,,,1.28 x N1 x K1 (1 x N1 x K1),2.56 x N1 x K1 (2 x N1 x K1)
,2.56,40.96 (32),3,,,20.48(8),40.96(16)
"NOTE 1: Applies for RedCap UE of all supporting FR2 power classes.NOTE 2: The number of DRX cycles in this table corresponds to the DRX cycles within PTWs.NOTE 3: The eDRX_IDLE cycle lengths are as specified in section 10.5.5.32 of TS 24.008 [42].NOTE 4: The lower bound of PTW length is derived based on .NOTE 5:The measurement shall not be performed across PTW’s. In this case the measurement is performed in the next available PTW.NOTE 6:The evaluation shall not be performed across PTW’s.NOTE 7:K1 = 3 is the measurement relaxation factor applicable for UE fulfilling the cellEdgeEvaluation criterion [2].Tevaluate,NR_Inter_RedCap_Relax*DRX_cycle1.28*1.28",,,,,,,
