Sub-carrier spacing in PCell (kHz),UL Sub-carrier spacing for data in E-UTRA PSCell (kHz),Maximum uplink transmission timing difference (µs)
15,15,35.21
30,15,35.21
60,15,35.21
120,15,35.21
