eDRX_IDLE cycle andeDRX_INACTIVE cycle length [s],RAN DRX cycle length [s],eDRX INACTIVE PTW length [s] (number of 1.28 s periods),Scaling Factor (N1) Note1,"Tdetect,NR_Inter_RedCap_Relax [s] (number of DRX or eDRX INACTIVE cycles)","Tmeasure,NR_Inter_RedCap_Relax [s] (number of DRX or eDRX INACTIVE cycles)","Tevaluate,NR_Inter_RedCap_Relax [s] (number of DRX or eDRX INACTIVE cycles)"
20.48≤eDRX_IDLE cycle length ≤163.8420.48 ≤eDRX_INACTIVE cycle length ≤163.84,0.32,≥5.12 (4),8,(23 x N1 x Kx)eDRXcyclelength×23×N1PTWDRXcyclelength x Kx,0.32 x N1 x Kx (1 x N1 x Kx),0.64 x N1 x Kx (2 x N1 x Kx)
,0.64,≥6.4 (5),5,,0.64 x N1 x Kx (1 x N1 x Kx),1.28 x N1 x Kx (2 x N1 x Kx)
,1.28,≥10.24 (8),4,,1.28 x N1 x Kx (1 x N1 x Kx),2.56 x N1 x Kx (2 x N1 x Kx)
,2.56,≥15.36 (12),3,,2.56 x N1 x Kx (1 x N1 x Kx),5.12 x N1 x Kx (2 x N1 x Kx)
"NOTE 1:Applies for RedCap UE of all power class.NOTE 2:The number of DRX cycles in this table is given for the DRX cycles within RAN PTWs.NOTE 3:The eDRX_INACTIVE cycle lengths are as specified in section 10.5.5.32 of TS 24.008 [42].NOTE 4:The lower bound of PTW length is derived based on .NOTE 5:When eDRX_INACTIVE=20.48 s and DRX=0.32 s, UE is allowed to perform cell evaluation within PTW in every 2 eDRX _INACTIVE cycles.NOTE 6:RAN DRX cycle in this table is UE specific DRX value configured by RRC specified in [1].NOTE 7:The number of RAN DRX cycles in this table is given for the DRX cycles within RAN configured PTWs.NOTE 8:eDRX INACTIVE PTW in this table is RAN configured PTW [1].NOTE 9:Kx = 6 is the measurement relaxation factor applicable for UE fulfilling the stationaryMobilityEvaluation [2] criterion. Kx = 3 is the measurement relaxation factor applicable for UE fulfilling the lowMobilityEvaluation [2] criterion or fulfilling the cellEdgeEvaluation [2] criterion.Tevaluate,NR_Inter_RedCap*DRX_cycle1.28*1.28",,,,,,
