FR of target NR cell,Tidentify-NR
FR1,"MAX (680 ms, 11 x Trs)"
FR2-1,"MAX (880 ms, Nx11 x Trs + Tproc)"
FR2-2,"MAX (880 ms, 12x11 x Trs)"
"NOTE:If the UE has been provided with higher layer signalling of smtc2 specified in TS 38.331 [2] prior to the redirection command, Trs follows smtc1 or smtc2 according to the physical cell ID of the target cell.NOTE2:If the UE supports FastRx-BSF-MeasDelayReduction-r19 and when the conditions in clause 3.6.21 are fulfilled, N = reported value via UE capability fastRx-BSF-MeasDelayReduction-r19 and Tproc = 2 ms, otherwise N = 8 and Tproc = 0.",
