Serving cell,Frequency range,Tidentify_intra_NR_CCA [ms],
SSB Ês/Iot (dB),(FR) of target NR cell,Known NR cell,Unknown NR cell
≥ -8,FR1,"MAX (200 ms, (5+K1) x TSMTC)","MAX (800 ms, (10+ K1) x TSMTC)"
≥ -8,FR2-2,N/A,"MAX (1000 ms, N  x (10+ K3) x TSMTC)"
< -8,FR1,N/A,(800+20 x K1 )Note1
< -8,FR2-2,N/A,N  x (440+20 x K3 )Note1
"NOTE 1:The UE is not required to successfully identify a cell on any NR frequency layer with CCA when TSMTC > 20 ms and serving cell SSB Ês/Iot < -8 dB.NOTE 2:K1 is the number of SMTC occasions not available at the UE during RRC re-establishment period on the carrier with CCA. NOTE 3:K3 is the number of SMTC occasion groups not available at the UE during RRC re-establishment period on the carrier with CCA. An SMTC occasion group consists of N consecutive SMTC occasions. An SMTC occasion group is not available, when at least one SMTC occasion in the group is not transmitted by the gNB. N is equal to 12.",,,
