Frequency Range,Maximum receive timing difference (µs)
FR1,31
FR2-1,0.26
"NOTE 1:In the case of different SCS on different CCs, if the receive time difference exceeds the cyclic prefix length of that SCS, demodulation performance degradation is expected for the first symbol of the slot.",
