Frequency Range,SCS of SSB signals (kHz),SCS of uplink signals (kHz),Te_ATG,
1,15,15,20*64*Tc,
,,30,18*64*Tc,
,,60,N/A,
,30,15,16*64*Tc,
,,30,16*64*Tc,
,,60,N/A,
NOTE 1:Tc is the basic timing unit defined in TS 38.211 [6],,,,
