eDRX_IDLE cycle length [s],eDRX INACTIVE cycle length[s],Tserv [s],Nserv [number of Tserv]
2.56 ≤eDRX_IDLE cycle length ≤10485.76,eDRX INACTIVE cycle length ≥ TPOS,0.32 ≤ Tserv < 1.28,4*M1
,,1.28 ≤ Tserv,2
