Sub-carrier spacing in E-UTRA PCell (kHz),UL Sub-carrier spacing for data in PSCell (kHz),Maximum uplink transmission timing difference (µs)
15,15,35.21
15,30,35.21
15,60,35.21
15,120,35.21
