FR,,NR Slot length (ms),X symbols
,,,
FR1,0,1,7
,1,0.5,14
,2,0.25,28
FR2,2,0.25,14
,3,0.125,28
NOTE 1:The FR1 value applies if one or both of the serving cell and the positioning frequency layer are in FR1. FR2 value applies if both of the serving cell and the positioning frequency layer are in FR2.,,,
