Serving cell SSB Ês/Iot (dB),FR of target NR,Tidentify_intra_NR [ms],
,cell,Known NR cell,Unknown NR cell
≥ -8,FR1,"MAX (200 ms, 5 x TSMTC)","Kmulti_SMTC * MAX (800 ms, 10 x TSMTC)"
< -8,FR1,N/A,"k * MAX(800 ms, 22 x Tsearch) Note2"
"NOTE 1:Kmulti_SMTC is defined in clause 9.2C.5.1.NOTE 2:k = 1 if the cells on the target frequency are served by GEO. k = (N+1) if the cells on the target frequency are served by LEO, where N is the number of different satellites associated to the list of configured neighbour cells in ntn-NeighCellConfigList and ntn-NeighCellConfigListExt.",,,
