Serving cell,FR of target NR,Tidentify_intra_NR [ms],
SSB Ês/Iot (dB),cell,Known NR cell,Unknown NR cell
≥ -8,FR1-NTN,"MAX (200 ms, 5 x TSMTC)","Kmulti_SMTC * MAX (800 ms, 10 x TSMTC)"
< -8,FR1-NTN,N/A,"k * 800 ms Note1, 3"
"NOTE 1:The UE is not required to successfully identify a cell on any NR frequency layer when TSMTC > 20 ms and serving cell SSB Ês/Iot < -8 dB.NOTE 2:Kmulti_SMTC is defined in clause 9.2C.5.1.NOTE 3:k = 1 if the cells on the target frequency are served by GEO. k = (N+1) if the cells on the target frequency are served by LEO, where N is the number of different satellites associated to the list of configured neighbour cells in ntn-NeighCellConfigList and ntn-NeighCellConfigListExt.",,,
