eDRX_IDLE cycle length [s],DRX or eDRX INACTIVE cycle length [s],"Tdetect, EUTRAN_RedCap_Relax [s] (number of DRX or eDRX INACTIVE cycles)","Tmeasure, EUTRAN_RedCap_Relax [s] (number of DRX or eDRX INACTIVE cycles)","Tevaluate, EUTRAN_RedCap_Relax [s] (number of DRX or INACTIVE eDRX cycles)"
,,,,
20.48 ≤eDRX_IDLE cycle length ≤ 10485.76,0.32,11.52 x M2 x K4 (36 x M2 x K4),1.28 x M2 x K4 (4 x M2 x K4),5.12 x M2 x K4 (16 x M2 x K4)
,0.64,17.92 x K4 (28 x K4),1.28 x K4 (2 x K4),5.12 x K4 (8 x K4)
,1.28,32 x K4 (25 x K4),1.28 x K4 (1 x K4),6.4 x K4 (5 x K4)
,2.56,58.88 x K4 (23 x K4),2.56 x K4 (1 x K4),7.68 x K4 (3 x K4)
,5.12,117.76 x K4 (23 x K4),5.12 x K4 (1 x K4),15.36 x K4 (3 x K4)
,10.24,235.52 x K4 (23 x K4),10.24 x K4 (1 x K4),30.72 x K4 (3 x K4)
NOTE1:M2 = 1.5 if SMTC periodicity of measured intra-frequency cell > 20 ms; otherwise M2=1.NOTE 2:K4 = 6 is the measurement relaxation factor applicable for UE fulfilling the stationaryMobilityEvaluation [2] criterion. K4 = 3 is the measurement relaxation factor applicable for UE fulfilling the lowMobilityEvaluation [2] criterion or fulfilling the cellEdgeEvaluation [2] criterion.,,,,
