eDRX_IDLE cycle length [s],DRX or eDRX INACTIVE cycle length [s],Scaling Factor (N1),"Tdetect,NR_Intra_Relax [s] (number of DRX or eDRX INACTIVE cycles)","Tmeasure,NR_Intra_Relax [s] (number of DRX or eDRX INACTIVE cycles)","Tevaluate,NR_Intra_Relax [s] (number of DRX or eDRX INACTIVE cycles)"
,,,,,
20.48 ≤eDRX_IDLE cycle length ≤10485.76,0.32,8,11.52 x N1 x M2 x K1  (36 x N1 x M2 x K1),1.28 x N1 x M2 x K1 (4 x N1 x M2 x K1),5.12 x N1 x M2 x K1 (16 x N1 x M2 x K1)
,0.64,5,17.92x N1 x K1 (28 x N1 x K1),1.28 x N1 x K1 (2 x N1 x K1),5.12 x N1 x K1 (8 x N1 x K1)
,1.28,4,32 x N1 x K1 (25 x N1 x K1),1.28 x N1 x K1 (1 x N1 x K1),6.4 x N1 x K1 (5 x N1 x K1)
,2.56,3,58.88 x N1 x K1 (23 x N1 x K1),2.56 x N1 x K1 (1 x N1 x K1),7.68 x N1 x K1 (3 x N1 x K1)
,5.12,3,117.76 x N1 x K1 (23 x N1 x K1),5.12 x N1 x K1 (1 x N1 x K1),15.36 x N1 x K1 (3 x N1 x K1)
,10.24,3,235.52 x N1 x K1 (23 x N1 x K1),10.24 x N1 x K1 (1 x N1 x K1),30.72 x N1 x K1 (3 x N1 x K1)
NOTE 1:M2 = 1.5 if SMTC periodicity of measured intra-frequency cell > 20 ms; otherwise M2=1.NOTE 2:K1 = 3 is the measurement relaxation factor applicable for UE fulfilling the lowMobilityEvaluation [2] criterion or fulfilling the cellEdgeEvaluation [2] criterion.,,,,,
