Serving cell,FR of target NR,Tidentify_intra_NR [ms],
SSB Ês/Iot (dB),cell,Known NR cell,Unknown NR cell
≥ -8,FR1,"MAX (200 ms, 6 x TSMTC)","MAX (800 ms, [11] x TSMTC)"
< -8,FR1,N/A,800Note1
NOTE 1:The UE is not required to successfully identify a cell on any NR frequency layer when TSMTC > 20 ms and serving cell SSB Ês/Iot < -8 dB.,,,
