,NR Slot length (ms),Interruption length X (slotsNote 1),Tinterrupt2 (slotsNote 1) for asynchronous DAPS HO
0,1,2,3
1,0.5,4,5
2,0.25,8,9
NOTE 1:The same SCS of source cell and target cell is assumed.NOTE 2:It is assumed that the BWP of target cell is smaller than the BWP of source cell.,,,
