eDRX_IDLE cycle length [s],DRX cycle length [s],PTW length [s] (number of 1.28 s periods),"Tdetect,EUTRAN_RedCap_Relax [s] (number of DRX cycles)","Tmeasure,EUTRAN_RedCap_Relax [s] (number of DRX cycles)","Tevaluate,E-UTRAN_RedCap_Relax[s] (number of DRX cycles)"
10.24 ≤ eDRX_IDLE cycle length ≤ [163.84],0.32,≥6.4 (5),K3 x  (23 x K3),0.32 x K3 (1 x K3),0.64 x K3 (2 x K3)
,0.64,≥12.8 (10),,0.64 x K3 (1 x K3),1.28 x K3 (2 x K3)
,1.28,≥15.36 (12),,1.28 x K3 (1 x K3),2.56 x K3 (2 x K3)
,2.56,≥30.72 (4),,2.56 x K3 (1 x K3),5.12 x K3 (2 x K3)
"NOTE 1: The number of DRX cycles in this table corresponds to the DRX cycles within PTWs.NOTE 2: The eDRX_IDLE cycle lengths are as specified in section 10.5.5.32 of TS 24.008 [42].NOTE 3: Void.NOTE 4: The lower bound of PTW length is derived based on .NOTE 5: K3 = 6 is the measurement relaxation factor applicable for UE fulfilling the stationaryMobilityEvaluation [2] criterion.Tevaluate,E-UTRAN_RedCap_Relax*DRX_cycle1.28*1.28",,,,,
