eDRX_IDLE cycle length [s],DRX cycle length [s],PTW length [s] (number of 1.28 s periods),Scaling Factor (N1) Note1,"Tdetect,NR_Inter_RedCap_Relax [s] (number of DRX cycles or eDRX cycles Note 3)","Tmeasure,NR_Inter_RedCap_Relax [s] (number of DRX cycles or eDRX cycles Note 3)",,"Tevaluate,NR_Inter_RedCap_Relax [s] (number of DRX cycles or eDRX cycles Note 3)"
20.48 ≤  eDRX_IDLE cycle length ≤[163.84],0.32,≥30.72 (24),8,K3 x (23 x N1 x K3)eDRX_cycle_length×23×N1PTW/DRX_cycle_length,,0.32 x N1 x K3 (1 x N1 x K3),0.64 x N1 x K3 (2 x N1 x K3)
,0.64,≥38.4 (30),5,,,0.64 x N1 x K3 (1 x N1 x K3),1.28 x N1 x K3 (2 x N1 x K3)
,1.28,40.96 (32),4,,,1.28 x N1 x K3 (1 x N1 x K3),2.56 x N1 x K3 (2 x N1 x K3)
,2.56,40.96 (32),3,,,20.48(8),40.96(16)
"NOTE 1: Applies for RedCap UE of all supporting FR2 power classes.NOTE 2: The number of DRX cycles in this table is given for the DRX cycles within PTWs.NOTE 3: The eDRX_IDLE cycle lengths are as specified in section 10.5.5.32 of TS 24.008 [42].NOTE 4: The lower bound of PTW length is derived based on .NOTE 5:For DRX cycle length is 0.32 s, 0.64 s and 2.56 s, K3 = 6 is the measurement relaxation factor applicable for UE fulfilling the stationaryMobilityEvaluation [2] criterion. For DRX cycle length is 1.28 s, K3 = 4 is the measurement relaxation factor applicable for UE fulfilling the stationaryMobilityEvaluation [2] criterion.Tevaluate,NR_Inter_RedCap_Relax*DRX_cycle1.28*1.28",,,,,,,
