Serving cell SSB Ês/Iot (dB),FR of target NR cell,"Tidentify_inter_NR, i [ms]",
,,Known NR cell,Unknown NR cell
≥ -8,FR1,"MAX (200 ms, 6 x TSMTC, i)","MAX (800 ms, 13 x TSMTC, i)"
≥ -8,FR2-1,N/A,"MAX (1000 ms, (M1Note2 x TSMTC, i + Tproc))"
≥ -8,FR2-2,N/A,"MAX (1000 ms, 156 x TSMTC, i))"
< -8,FR1,N/A,800Note1
< -8,FR2-1,N/A,"M2Note1,Note3 + Tproc"
< -8,FR2-2,N/A,6000 Note1
"NOTE 1:The UE is not required to successfully identify a cell on any NR frequency layer when TSMTC,i > 20 ms and serving cell SSB Ês/Iot < -8 dB.NOTE 2:M1 = N*13, N = reported value via UE capability fastRx-BSF-MeasDelayReduction-r19 and Tproc = 2 ms for the UE capable of FastRx-BSF-MeasDelayReduction-r19 and when the conditions in clause 3.6.21 are fulfilled, otherwise, M1 = 104 and Tproc = 0 ms.NOTE 3:M2 = N*500, N = reported value via UE capability fastRx-BSF-MeasDelayReduction-r19 and Tproc = 2 ms for the UE capable of FastRx-BSF-MeasDelayReduction-r19 and when the conditions in clause 3.6.21 are fulfilled, otherwise, M2 = 4000  and Tproc = 0 ms.",,,
