Serving cell SSB Ês/Iot (dB),FR of target NR cell,"Tidentify_inter_NR, i [ms]",
,,Known NR cell,Unknown NR cell
≥ -8 and SMTC is configured,FR1-NTN,"MAX (200 ms, 6 x TSMTC, i)","K_satellite * MAX (800 ms, 13 x TSMTC, i)"
< -8 or SMTC is not configured,FR1-NTN,N/A,"k * 800 ms Note1, 3"
"NOTE 1:The UE is not required to successfully identify a cell on any NR frequency layer when TSMTC,i > 20 ms and serving cell SSB Ês/Iot < -8 dB.NOTE 2:K_satellite is defined in clause 9.3C.4.NOTE 3:k = 1 if the cells on the target frequency are served by GEO. k = (N+1) if the cells on the target frequency are served by LEO, where N is the number of different satellites associated to the list of configured neighbour cells in ntn-NeighCellConfigList and ntn-NeighCellConfigListExt.",,,
