Serving cell SSB Ês/Iot (dB),FR of target NR cell,"Tidentify_inter_NR, i [ms]",
,,Known NR cell,Unknown NR cell
≥ -8,FR1,"MAX (200 ms, 7 x TSMTC, i)","MAX (800 ms, [14] x TSMTC, i)"
< -8,FR1,N/A,800Note1
"NOTE 1:The UE is not required to successfully identify a cell on any NR frequency layer when TSMTC,i > 20 ms and serving cell SSB Ês/Iot < -8 dB.",,,
