FR of target NR cell,Tidentify-NR
FR1-NTN,"K_satellite * MAX (680 ms, 11 x Trs)"
"NOTE 1:If the UE has been provided with higher layer signalling of smtc2 specified in TS 38.331 [2] prior to the redirection command, Trs follows smtc1 or smtc2 according to the physical cell ID of the target cell.NOTE 2:K_satellite is defined in clause 9.3C.4.",
