Measurement,FR1
RSRP1,"(T1 – min(640 ms, M1*TDRX)) ≤ T1’ ≤ (T1 + min(640 ms, M1*TDRX))"
RSRP2,"(T2 – min(640 ms, M1*TDRX)) ≤ T2’ ≤ T2"
