eDRX_IDLE cycle length [s],"Tdetect,NR_Intra [s] (number of eDRX IDLE cycles)","Tmeasure,NR_Intra [s] (number of eDRX IDLE cycles)","Tevaluate,NR_Intra [s] (number of eDRX IDLE cycles)"
,,,
2.56,58.88 x N1 x K1 (23 x N1 x K1),2.56 x N1 x K1 (1 x K1),7.68 x N1 x K1 (3 x N1 x K1)
5.12,117.76 x N1 x K1 (23 x N1 x K1),5.12 x N1 x K1 (1 x N1 x K1),10.24 x N1 x K1 (2 x N1 x K1)
10.24,235.52 x N1 x K1 (23 x N1 x K1),10.24 x N1 x K1 (1 x N1 x K1),20.48 x N1 x K1 (2 x N1 x K1)
"NOTE 1:For UE supporting FR2-1 power class 2&3&4, N1 = 3. For UE supporting FR2-1 power class 1 or 5, N1 = 8 for all DRX cycle length.NOTE 2:VoidNOTE 3:K1 = 3 is the measurement relaxation factor applicable for UE fulfilling the cellEdgeEvaluation [2] criterion.",,,
