Frequency Range,SCS of uplink signals (kHz),Tq,Tp
1,15,5.5*64*Tc,5.5*64*Tc
,30,5.5*64*Tc,5.5*64*Tc
,60,5.5*64*Tc,5.5*64*Tc
2-1,60,K*64*Tc,2.5*64*Tc
,120,K*64*Tc,2.5*64*Tc
2-2,120,2.5*64*Tc,2.5*64*Tc
,480,0.8*64*Tc,0.8*64*Tc
,960,0.8*64*Tc,0.8*64*Tc
"NOTE 1:Tc is the basic timing unit defined in TS 38.211 [6]NOTE 2:When highSpeedMeasFlagFR2-r17 is configured for UE supporting power class 6, K = 4.5; otherwise, K = 2.5.",,,
