Serving cell,FR of target NR,Tidentify_intra_NR [ms],
SSB Ês/Iot (dB),cell,Known NR cell,Unknown NR cell
≥ -8,FR1,"MAX (200 ms, 5 x TSMTC)","MAX (800 ms, 10 x TSMTC)"
≥ -8,FR2-1,N/A,"MAX (1000 ms, (M1Note2 x TSMTC + Tproc))"
≥ -8,FR2-2,N/A,"MAX (1000 ms, 120 x TSMTC))"
< -8,FR1,N/A,800Note1
< -8,FR2-1,N/A,"M2Note1,Note3 + Tproc"
< -8,FR2-2,N/A,5280Note1
"NOTE 1:The UE is not required to successfully identify a cell on any NR frequency layer when TSMTC > 20 ms and serving cell SSB Ês/Iot < -8 dB.NOTE 2:M1 = N*10, N = reported value via UE capability fastRx-BSF-MeasDelayReduction-r19 and Tproc = 2 ms for the UE capable of fastRx-BSF-MeasDelayReduction-r19 and when the conditions in clause 3.6.21 are fulfilled, otherwise, M1 = 80 and Tproc = 0 ms.NOTE 3:M2 = N*440, N = reported value via UE capability fastRx-BSF-MeasDelayReduction-r19 and Tproc = 2 ms for the UE capable of fastRx-BSF-MeasDelayReduction-r19 and when the conditions in clause 3.6.21 are fulfilled, otherwise, M2 = 3520 and Tproc = 0 ms.",,,
